[INFO] 11:21:03 - root - Logging initialized. Logs stored in C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\loggers
[INFO] 11:21:03 - root - Test the custom logger
[INFO] 11:21:03 - __main__ - Game starting up...
[INFO] 11:21:15 - src.game - [CONFIG] Game, image, and sound configs loaded
[INFO] 11:21:23 - src.game - [INFO] effects, pickups, mobs, player, weapons images loaded
[WARNING] 11:21:23 - loggers.logging_fnc - [IMAGES] 'harpoon' height doesn't fit tile size.
[INFO] 11:21:23 - src.game - [OK] Loaded mesh: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\test_anti_g.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\level1_anti_g.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\test_waterflow.npy
[WARNING] 11:21:23 - src.game - [WARNING] Mesh file not found: C:\Users\ben_s\Documents\Python_Scripts\PROJECTS\SideScrollerUnderwater\assets\mesh_files\level1_waterflow.npy
[INFO] 11:21:23 - src.game - [INFO] music, ambient sounds loaded
[WARNING] 11:21:39 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.31316105058467.
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:39 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -35.27334753132048.
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:39 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -34.95246152316328.
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:39 - loggers.logging_fnc - [WORLD] <Dartfish Sprite(in 3 groups)> out of map bounds at -34.84903455642312.
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:39 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 7.5
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:40 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:41 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.7
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:42 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:43 - loggers.logging_fnc - [PERF] Critical low FPS: 8.3
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:44 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.7
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:45 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 7.4
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:46 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 8.6
[WARNING] 11:21:47 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
[WARNING] 11:21:48 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
[WARNING] 11:21:48 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
[WARNING] 11:21:48 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
[WARNING] 11:21:48 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
[WARNING] 11:21:48 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
[WARNING] 11:21:48 - loggers.logging_fnc - [PERF] Critical low FPS: 7.9
